id,area_m2
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,1900.656548
807,164397.2084
808,583150.1916
809,498681.6224
810,261219.2597
811,122283.2129
812,90902.52737
813,182001.7878
814,45695.82712
815,153805.9935
816,93510.22842
817,19502.11103
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,13012.23568
848,437010.225
849,608405.1774
850,655759.0189
851,534288.293
852,408628.4741
853,268173.1465
854,211199.1049
855,138864.546
856,171197.4083
857,56034.82677
858,1100.377304
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,20280.83829
889,660454.6781
890,860139.373
891,734730.3737
892,791957.2851
893,693019.946
894,560880.8481
